1024	393419.99
2048	411724.64
4096	897718.83
8192	1993620.45
16384	3994632.03
32768	8727948.76
65536	1.743941243E7
131072	3.812021169E7
262144	1.1334332126E8
524288	2.5874276039E8
1048576	6.0767922333E8
