Size	BadHashFunctor	MediocreHashFunctor	GoodHashFunctor
1024	1003	1	0
2048	2027	9	0
4096	4075	31	0
8192	8171	168	0
16384	16363	495	0
32768	32747	2163	0
65536	65515	7627	0
131072	131051	26458	4
262144	262123	83640	9
524288	524267	246183	50
1048576	1048555	659072	178
